  21415401: -->propan-2-methyl-1-peroxy-radical<--
  11718602: -->3-hexene<--
  10708201: -->ethanoic-acid<--
  20708200: -->ethoxy-radical<--
  20809300: -->propanoyl-radical<--
  20405400: -->butadiynyl<--
  21011402: -->but-1-en-2-yl-radical<--
  12627900: -->1-nonene<--
  13944900: -->tetradecane<--
  11718600: -->1-hexene<--
  11415406: -->3-hydroperoxy-2-butanal<--
  21011400: -->butene-4-yl<--
  11213401: -->2-butanal<--
  20607401: -->1-butyne-3-ene-4-yl<--
  10304200: -->ethyne<--
  20405101: -->hydroxymethyl-radical<--
  11415404: -->4-hydroperoxy-1-butanal<--
  20506301: -->propyn-1-yl-radical<--
  13435900: -->undecane<--
  21112300: -->propyl-2-peroxy-radical<--
  11415501: -->2-pentene<--
  21516402: -->butan-2-hydroxy-1-peroxy-radical<--
  11415402: -->2-hydroperoxy-1-butanal<--
  20607201: -->methylcarboxy-radical<--
  13941900: -->tridecane<--
  10506201: -->diformyl<--
  10708300: -->prop-1-en-1-one<--
  10910402: -->but-2-yne<--
  11011403: -->2-butanal-3-ene<--
  21516400: -->propan-1-hydroxy-2-methyl-2-peroxy-radical<--
  11415400: -->propan-3-hydroperoxy-2-methyl-al<--
  20910302: -->prop-3-en-1-peroxy-radical<--
  10910400: -->1-butyne<--
  20809400: -->2-butynyl-radical<--
  12526800: -->octane<--
  10910301: -->propanone<--
  11011401: -->1-butanal-2-ene<--
  21314404: -->prop-1-yl-2-hydroxy-2-methyl-radical<--
  10809201: -->peroxyethanoic-acid<--
  11617500: -->pentane<--
  12021701: -->2-heptene<--
  20910300: -->1-propyl-radical<--
  20809200: -->ethylperoxy-radical<--
  21314402: -->but-2-yl-3-hydroxy-radical<--
  12930900: -->1-decene<--
  11112401: -->2-butene<--
  12324802: -->3-octene<--
  21617407: -->1-hydroperoxy-4-peroxy-butane<--
  21314400: -->but-2-yl-1-hydroxy-radical<--
  21415413: -->3-butyl-2-hydroperoxy-radical<--
  21112406: -->4-yl-2-butanal<--
  10708400: -->1-buten-3-yne<--
  21011414: -->1,4-dibutanal-3-yl<--
  12324800: -->1-octene<--
  21617405: -->1-hydroperoxy-2-peroxy-butane<--
  21617410: -->2-hydroperoxy-4-peroxy-butane<--
  10607300: -->allene<--
  21415411: -->1-butyl-2-hydroperoxy-radical<--
  12223700: -->heptane<--
  21112404: -->1-yl-2-butanal<--
  13947900: -->pentadecane<--
  21213406: -->but-3-en-2-peroxy-radical<--
  11314400: -->butane<--
  21011412: -->1,3-dibutanal-4-yl<--
  21617408: -->2-hydroperoxy-2-peroxy-butane<--
  21617403: -->butan-2-hydroperoxy-1-peroxy-radical<--
  20506100: -->methylperoxy-radical<--
  21415409: -->3-butyl-1-hydroperoxy-radical<--
  21112402: -->3-yl-1-butanal<--
  10809301: -->propanal-2-one<--
  21213404: -->prop-2-en-2-methyl-1-peroxy-radical<--
  12930903: -->4-decene<--
  21011410: -->1,3-dibutanal-1-yl<--
  11112404: -->1,4-dibutanal<--
  21617401: -->propan-3-hydroperoxy-2-methyl-1-peroxy-radical<--
  21415407: -->1-butyl-1-hydroperoxy-radical<--
  21112400: -->1-yl-1-butanal<--
  11920602: -->2,2-dimethylbutane<--
  20708305: -->propanal-2-one-3-yl-radical<--
  10910201: -->dimethylperoxide<--
  21213402: -->prop-2-yl-methyl-radical<--
  12930901: -->2-decene<--
  21011408: -->1,2-dibutanal-3-yl<--
  10304000: -->hydrogen-peroxide<--
  10506400: -->butadiyne<--
  10102001: -->oxygen<--
  21415405: -->1-butylperoxy-radical<--
  20102000: -->hydroxyl-radical<--
  20506201: -->Oxiranyl-radical<--
  11920600: -->hexane<--
  20708303: -->dipropanal-2-yl-radical<--
  20809304: -->prop-2-en-1-oxy-radical<--
  21213400: -->1-butyl-radical<--
  21011406: -->prop-2-en-2-methyl-1-yl-radical<--
  12223703: -->2,4-dimethylpentane<--
  21415403: -->prop-2-yl-1-hydroperoxy-2-methyl-radical<--
  10506200: -->ethene<--
  20708301: -->prop-1-en-2-yl-radical<--
  10607301: -->propyne<--
  20809302: -->propanal-2-yl-radical<--
  12223701: -->2,2-dimethylpentane<--
  21011404: -->but-2-en-1-yl-radical<--
  12627902: -->3-nonene<--
  11617501: -->2,2-dimethylpropane<--
  12021702: -->3-heptene<--
  20910301: -->2-propyl-radical<--
  10910300: -->propanal<--
  11011400: -->1-butanal-1-ene<--
  20809201: -->hydroperoxyethanyl-radical<--
  21314403: -->prop-2-yl-1-hydroxy-2-methyl-radical<--
  20203100: -->formyl-radical<--
  10809200: -->ethanol<--
  11112402: -->1,2-dibutanal<--
  12021700: -->1-heptene<--
  10001000: -->oxygen-radical<--
  12324803: -->4-octene<--
  21314401: -->but-1-yl-2-hydroxy-radical<--
  21415414: -->4-butyl-2-hydroperoxy-radical<--
  20405200: -->ethenyl-radical<--
  11112400: -->1-butene<--
  21516404: -->butan-3-hydroxy-2-peroxy-radical<--
  20304100: -->methyl-radical<--
  12324801: -->2-octene<--
  10203100: -->carbon-dioxide<--
  21617406: -->1-hydroperoxy-3-peroxy-butane<--
  21011415: -->2,3-dibutanal-1-yl<--
  21415412: -->2-butyl-2-hydroperoxy-radical<--
  21112405: -->3-yl-2-butanal<--
  13132900: -->decane<--
  11314401: -->2-methylpropane<--
  21011413: -->1,4-dibutanal-1-yl<--
  21617409: -->2-hydroperoxy-3-peroxy-butane<--
  21617404: -->1-hydroperoxy-1-peroxy-butane<--
  21415410: -->4-butyl-1-hydroperoxy-radical<--
  21112403: -->4-yl-1-butanal<--
  10607200: -->ethanal<--
  10809302: -->1,3-dipropanal<--
  21213405: -->but-2-en-1-peroxy-radical<--
  12930904: -->5-decene<--
  21011411: -->1,3-dibutanal-2-yl<--
  11112405: -->2,3-dibutanal<--
  21617402: -->propan-1-hydroperoxy-2-methyl-2-peroxy-radical<--
  21415408: -->2-butyl-1-hydroperoxy-radical<--
  21112401: -->2-yl-1-butanal<--
  20203200: -->ethynyl-radical<--
  10809300: -->propene<--
  21213403: -->prop-1-yl-methyl-radical<--
  12930902: -->3-decene<--
  20102100: -->carbon-monoxide<--
  11112403: -->1,3-dibutanal<--
  21617400: -->propan-2-hydroperoxy-2-methyl-1-peroxy-radical<--
  21011409: -->1,2-dibutanal-4-yl<--
  21415406: -->2-butylperoxy-radical<--
  20506202: -->ethanoyl-radical<--
